Orgs,Months,Region,Years,Cost
Other,Romance,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Musical - Music,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Family,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Romance,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Historical,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Animation  ,North  ,2016,1
Sony Pictures ,Family,South  ,2016,1
Other,Adventure,South  ,2016,1
Other,Comedy  ,West,2016,1
Other,Drama  ,East  ,2016,1
Other,Horror,North  ,2016,1
Sony Pictures ,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Family,North  ,2016,1
Warner Bros. Pictures ,Adventure,South  ,2016,1
Universal Pictures ,Comedy  ,South  ,2016,1
Other,Historical,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Sony Pictures ,Musical - Music,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Horror,North  ,2016,1
Other,Historical,North  ,2016,1
Paramount Pictures ,Comedy  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Family,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Sony Pictures ,Historical,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Musical - Music,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Universal Pictures ,Comedy  ,South  ,2016,1
Other,Horror,South  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Musical - Music,North  ,2016,1
Universal Pictures ,Comedy  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Musical - Music,North  ,2016,1
Walt Disney Studios ,Family,South  ,2016,1
Warner Bros. Pictures ,Comedy  ,South  ,2016,1
Other,Adventure,South  ,2016,1
Other,Documentary  ,East  ,2016,1
Other,Thriller,East  ,2016,1
Other,Thriller,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Musical - Music,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Romance,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Musical - Music,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Adventure,South  ,2016,1
Universal Pictures ,Adventure,South  ,2016,1
Other,Musical - Music,North  ,2016,1
Sony Pictures ,Drama  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Horror,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Warner Bros. Pictures ,Comedy  ,South  ,2016,1
Other,Animation  ,South  ,2016,1
Other,Comedy  ,West,2016,1
Other,Drama  ,East  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Historical,North  ,2016,1
Universal Pictures ,Drama  ,North  ,2016,1
Other,Thriller,East  ,2016,1
Walt Disney Studios ,Adventure,South  ,2016,1
Other,Horror,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Romance,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Thriller,South  ,2016,1
Sony Pictures ,Drama  ,South  ,2016,1
Other,Horror,East  ,2016,1
Other,Adventure,North  ,2016,1
Universal Pictures ,Comedy  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Sony Pictures ,Comedy  ,South  ,2016,1
Warner Bros. Pictures ,Thriller,South  ,2016,1
Universal Pictures ,Comedy  ,South  ,2016,1
Other,Documentary  ,East  ,2016,1
Other,Drama  ,East  ,2016,1
Other,Documentary  ,North  ,2016,1
Sony Pictures ,Comedy  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Walt Disney Studios ,Adventure,South  ,2016,1
20th Fox,Adventure,South  ,2016,1
Other,Comedy  ,West,2016,1
Other,Documentary  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Warner Bros. Pictures ,Romance,South  ,2016,1
Universal Pictures ,Adventure,South  ,2016,1
Paramount Pictures ,Comedy  ,South  ,2016,1
Other,Adventure,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Universal Pictures ,Adventure,South  ,2016,1
Other,Thriller,South  ,2016,1
Warner Bros. Pictures ,Horror,South  ,2016,1
Other,Historical,North  ,2016,1
Paramount Pictures ,Romance,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Musical - Music,North  ,2016,1
Universal Pictures ,Comedy  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Warner Bros. Pictures ,Comedy  ,South  ,2016,1
Walt Disney Studios ,Animation  ,South  ,2016,1
Other,Documentary  ,East  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Thriller,North  ,2016,1
Sony Pictures ,Thriller,South  ,2016,1
20th Fox,Adventure,South  ,2016,1
Other,Adventure,South  ,2016,1
Other,Drama  ,West,2016,1
Other,Thriller,East  ,2016,1
Other,Horror,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Sony Pictures ,Musical - Music,North  ,2016,1
Universal Pictures ,Horror,South  ,2016,1
Warner Bros. Pictures ,Family,South  ,2016,1
Walt Disney Studios ,Family,South  ,2016,1
Other,Documentary  ,East  ,2016,1
Other,Thriller,East  ,2016,1
Other,Thriller,North  ,2016,1
Other,Thriller,North  ,2016,1
Universal Pictures ,Animation  ,South  ,2016,1
20th Fox,Comedy  ,South  ,2016,1
Other,Romance,East  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Sony Pictures ,Drama  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Family,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,South  ,2016,1
Sony Pictures ,Adventure,South  ,2016,1
Other,Adventure,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
20th Fox,Animation  ,South  ,2016,1
Paramount Pictures ,Adventure,South  ,2016,1
Warner Bros. Pictures ,Thriller,South  ,2016,1
Other,Comedy  ,South  ,2016,1
Other,Comedy  ,East  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Thriller,South  ,2016,1
Universal Pictures ,Thriller,South  ,2016,1
Other,Comedy  ,South  ,2016,1
Other,Documentary  ,East  ,2016,1
Other,Drama  ,East  ,2016,1
Other,Horror,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Sony Pictures ,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Warner Bros. Pictures ,Adventure,South  ,2016,1
Other,Comedy  ,South  ,2016,1
Other,Drama  ,East  ,2016,1
Other,Animation  ,North  ,2016,1
Other,Romance,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Horror,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Romance,North  ,2016,1
Walt Disney Studios ,Family,South  ,2016,1
Paramount Pictures ,Drama  ,South  ,2016,1
Sony Pictures ,Comedy  ,South  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Universal Pictures ,Animation  ,South  ,2016,1
Warner Bros. Pictures ,Comedy  ,South  ,2016,1
Paramount Pictures ,Adventure,South  ,2016,1
Other,Drama  ,East  ,2016,1
Other,Historical,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Horror,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Thriller,South  ,2016,1
Sony Pictures ,Thriller,South  ,2016,1
Other,Drama  ,East  ,2016,1
Other,Romance,East  ,2016,1
Sony Pictures ,Drama  ,East  ,2016,1
Other,Romance,North  ,2016,1
Other,Family,North  ,2016,1
Other,Family,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Thriller,North  ,2016,1
Walt Disney Studios ,Romance,South  ,2016,1
20th Fox,Thriller,South  ,2016,1
Other,Drama  ,East  ,2016,1
Other,Drama  ,East  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Horror,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Warner Bros. Pictures ,Drama  ,South  ,2016,1
Sony Pictures ,Thriller,South  ,2016,1
Other,Adventure,South  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Thriller,North  ,2016,1
Universal Pictures ,Romance,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Universal Pictures ,Romance,South  ,2016,1
Other,Historical,South  ,2016,1
Other,Musical - Music,South  ,2016,1
Other,Horror,South  ,2016,1
Other,Drama  ,East  ,2016,1
Other,Comedy  ,East  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Warner Bros. Pictures ,Adventure,South  ,2016,1
Sony Pictures ,Adventure,South  ,2016,1
Other,Documentary  ,East  ,2016,1
Walt Disney Studios ,Historical,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Comedy  ,South  ,2016,1
Other,Historical,South  ,2016,1
20th Fox,Adventure,South  ,2016,1
Other,Documentary  ,East  ,2016,1
Other,Comedy  ,East  ,2016,1
Other,Animation  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Family,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Horror,North  ,2016,1
Universal Pictures ,Thriller,South  ,2016,1
Other,Drama  ,South  ,2016,1
Other,Romance,South  ,2016,1
Other,Documentary  ,West,2016,1
Other,Drama  ,East  ,2016,1
Other,Family,North  ,2016,1
Other,Animation  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Romance,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Musical - Music,North  ,2016,1
Other,Horror,North  ,2016,1
Other,Romance,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Horror,North  ,2016,1
Warner Bros. Pictures ,Animation  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Comedy  ,West,2016,1
Other,Romance,South  ,2016,1
Warner Bros. Pictures ,Drama  ,South  ,2016,1
Universal Pictures ,Comedy  ,South  ,2016,1
Other,Drama  ,South  ,2016,1
Other,Animation  ,East  ,2016,1
Other,Horror,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Animation  ,North  ,2016,1
Other,Animation  ,North  ,2016,1
Paramount Pictures ,Thriller,South  ,2016,1
20th Fox,Comedy  ,South  ,2016,1
Universal Pictures ,Thriller,South  ,2016,1
Other,Comedy  ,South  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Historical,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Family,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Drama  ,North  ,2016,1
Universal Pictures ,Adventure,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Sony Pictures ,Thriller,South  ,2016,1
Other,Thriller,North  ,2016,1
Other,Horror,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Sony Pictures ,Documentary  ,North  ,2016,1
20th Fox,Musical - Music,South  ,2016,1
Walt Disney Studios ,Adventure,South  ,2016,1
Other,Adventure,South  ,2016,1
Other,Drama  ,East  ,2016,1
Other,Documentary  ,East  ,2016,1
Other,Thriller,East  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Universal Pictures ,Historical,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Universal Pictures ,Comedy  ,South  ,2016,1
Paramount Pictures ,Thriller,South  ,2016,1
Other,Drama  ,South  ,2016,1
Sony Pictures ,Drama  ,South  ,2016,1
Other,Comedy  ,West,2016,1
Sony Pictures ,Thriller,East  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Comedy  ,North  ,2016,1
Other,Horror,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Warner Bros. Pictures ,Adventure,South  ,2016,1
Other,Drama  ,South  ,2016,1
Other,Drama  ,South  ,2016,1
Other,Adventure,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Historical,North  ,2016,1
Universal Pictures ,Thriller,North  ,2016,1
Walt Disney Studios ,Family,South  ,2016,1
Paramount Pictures ,Romance,South  ,2016,1
20th Fox,Drama  ,South  ,2016,1
Other,Comedy  ,South  ,2016,1
Other,Thriller,East  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Horror,South  ,2016,1
Sony Pictures ,Comedy  ,North  ,2016,1
Other,Comedy  ,East  ,2016,1
Other,Romance,North  ,2016,1
Other,Thriller,North  ,2016,1
Other,Horror,North  ,2016,1
Other,Horror,North  ,2016,1
Other,Horror,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Animation  ,North  ,2016,1
Other,Historical,East  ,2016,1
Paramount Pictures ,Comedy  ,South  ,2016,1
Other,Horror,West,2016,1
Sony Pictures ,Adventure,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Romance,North  ,2016,1
Other,Romance,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Adventure,North  ,2016,1
Other,Documentary  ,North  ,2016,1
Walt Disney Studios ,Adventure,South  ,2016,1
Warner Bros. Pictures ,Drama  ,South  ,2016,1
Other,Documentary  ,East  ,2016,1
Other,Thriller,North  ,2016,1
Other,Drama  ,North  ,2016,1
Universal Pictures ,Family,South  ,2016,1
20th Fox,Adventure,South  ,2016,1
Other,Drama  ,North  ,2016,1
Sony Pictures ,Drama  ,North  ,2016,1
20th Fox,Comedy  ,South  ,2016,1
Paramount Pictures ,Drama  ,North  ,2016,1
Universal Pictures ,Adventure,North  ,2016,1
Other,Drama  ,North  ,2016,1
Paramount Pictures ,Drama  ,South  ,2016,1
Paramount Pictures ,Comedy  ,South  ,2016,1
20th Fox,Drama  ,North  ,2016,1
Warner Bros. Pictures ,Drama  ,North  ,2016,1
Other,Drama  ,North  ,2016,1
Other,Drama  ,East  ,2016,1
Other,Drama  ,East  ,2016,1
Universal Pictures ,Drama  ,North  ,2016,1
Other,Adventure,North  ,2017,1
Sony Pictures ,Adventure,South  ,2017,1
Other,Thriller,West,2017,1
Other,Adventure,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Paramount Pictures ,Family,South  ,2017,1
Other,Comedy  ,South  ,2017,1
Other,Horror,South  ,2017,1
Other,Thriller,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Universal Pictures ,Horror,South  ,2017,1
Other,Family,North  ,2017,1
Sony Pictures ,Animation  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Sony Pictures ,Adventure,South  ,2017,1
Universal Pictures ,Drama  ,South  ,2017,1
Other,Drama  ,South  ,2017,1
Other,Adventure,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Adventure,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Paramount Pictures ,Horror,South  ,2017,1
Other,Adventure,South  ,2017,1
Other,Thriller,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Warner Bros. Pictures ,Animation  ,South  ,2017,1
Universal Pictures ,Romance,South  ,2017,1
Other,Adventure,South  ,2017,1
Warner Bros. Pictures ,Documentary  ,East  ,2017,1
Other,Thriller,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Historical,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
20th Fox,Thriller,South  ,2017,1
Universal Pictures ,Adventure,South  ,2017,1
Warner Bros. Pictures ,Comedy  ,South  ,2017,1
Other,Horror,North  ,2017,1
Other,Romance,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Animation  ,South  ,2017,1
Other,Adventure,South  ,2017,1
Universal Pictures ,Horror,South  ,2017,1
Other,Documentary  ,East  ,2017,1
Other,Horror,North  ,2017,1
Other,Family,North  ,2017,1
Other,Historical,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Horror,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Family,South  ,2017,1
Other,Adventure,South  ,2017,1
Other,Comedy  ,South  ,2017,1
20th Fox,Adventure,South  ,2017,1
Other,Drama  ,South  ,2017,1
Other,Comedy  ,East  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Musical - Music,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Warner Bros. Pictures ,Adventure,South  ,2017,1
Other,Drama  ,East  ,2017,1
Universal Pictures ,Thriller,East  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Adventure,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Comedy  ,East  ,2017,1
Other,Drama  ,East  ,2017,1
Other,Horror,North  ,2017,1
Sony Pictures ,Adventure,North  ,2017,1
Other,Horror,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Romance,North  ,2017,1
Sony Pictures ,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Warner Bros. Pictures ,Comedy  ,South  ,2017,1
Other,Adventure,South  ,2017,1
Other,Adventure,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Universal Pictures ,Drama  ,South  ,2017,1
20th Fox,Animation  ,South  ,2017,1
Paramount Pictures ,Thriller,South  ,2017,1
Other,Romance,East  ,2017,1
Other,Drama  ,East  ,2017,1
Other,Thriller,North  ,2017,1
Other,Romance,North  ,2017,1
Other,Horror,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Warner Bros. Pictures ,Comedy  ,South  ,2017,1
Other,Family,South  ,2017,1
Sony Pictures ,Family,South  ,2017,1
Other,Thriller,West,2017,1
Other,Documentary  ,East  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Adventure,North  ,2017,1
Other,Romance,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Adventure,North  ,2017,1
Other,Horror,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Horror,North  ,2017,1
Other,Romance,North  ,2017,1
Other,Animation  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Universal Pictures ,Adventure,South  ,2017,1
Other,Comedy  ,West,2017,1
Other,Adventure,North  ,2017,1
Other,Adventure,North  ,2017,1
Other,Adventure,North  ,2017,1
Other,Adventure,North  ,2017,1
Other,Adventure,North  ,2017,1
Sony Pictures ,Drama  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Animation  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Warner Bros. Pictures ,Thriller,South  ,2017,1
Other,Drama  ,South  ,2017,1
Other,Horror,South  ,2017,1
Walt Disney Studios ,Documentary  ,South  ,2017,1
Other,Drama  ,South  ,2017,1
Other,Adventure,West,2017,1
Other,Documentary  ,East  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Adventure,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Drama  ,South  ,2017,1
Other,Adventure,South  ,2017,1
Other,Comedy  ,South  ,2017,1
Other,Horror,East  ,2017,1
Other,Documentary  ,East  ,2017,1
Other,Thriller,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Historical,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Walt Disney Studios ,Adventure,South  ,2017,1
Other,Thriller,West,2017,1
Other,Drama  ,East  ,2017,1
Other,Adventure,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Adventure,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Warner Bros. Pictures ,Adventure,South  ,2017,1
20th Fox,Comedy  ,South  ,2017,1
Other,Drama  ,South  ,2017,1
Other,Comedy  ,East  ,2017,1
Other,Comedy  ,North  ,2017,1
Sony Pictures ,Romance,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Romance,North  ,2017,1
Other,Horror,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
20th Fox,Adventure,South  ,2017,1
Warner Bros. Pictures ,Romance,South  ,2017,1
20th Fox,Comedy  ,South  ,2017,1
Other,Family,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Paramount Pictures ,Adventure,South  ,2017,1
Walt Disney Studios ,Adventure,South  ,2017,1
Other,Adventure,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Adventure,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Warner Bros. Pictures ,Adventure,South  ,2017,1
20th Fox,Animation  ,South  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Historical,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Adventure,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Musical - Music,North  ,2017,1
Universal Pictures ,Adventure,South  ,2017,1
Other,Thriller,North  ,2017,1
Sony Pictures ,Thriller,North  ,2017,1
Other,Adventure,North  ,2017,1
Other,Thriller,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Romance,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Documentary  ,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Other,Drama  ,North  ,2017,1
Other,Horror,North  ,2017,1
Other,Comedy  ,North  ,2017,1
Sony Pictures ,Comedy  ,South  ,2017,1
Walt Disney Studios ,Animation  ,South  ,2017,1
Other,Historical,South  ,2017,1
Other,Thriller,North  ,2017,1
Universal Pictures ,Romance,North  ,2017,1
